CGC_HOSP,RAZAO,UF_ZI,CMPT
00000618000151,HOSPITAL DA REABILITACAO DO ABC SC LTDA,35,200801
00015081000101,HOSPITAL E MATERNIDADE DR BRASIL CAIADO LTDA,52,201410
00025841000153,HOSPITAL SANTA LUCIA SA,53,201007
00029827000128,MATERNIDADE E HOSPITAL DOM BOSCO LTDA,52,201505
00033940000187,HOSPITAL ESPIRITA JOAO MARCHESI,35,201505
00038174000658,HOSPITAL UNIVERSITARIO DE BRASILIA,53,201505
00049791000144,HOSPITAL SANTA HELENA SA,53,200801
00054015000485,HOSPITAL REGIONAL DE BRAZLANDIA,53,201505
00054015000809,HOSPITAL REGIONAL DE PLANALTINA,53,200801
00054015001708,HOSPITAL REGIONAL DE CEILANDIA,53,200801
00054015001880,HOSPITAL REGIONAL DE SOBRADINHO,53,201505
00054015002003,HOSPITAL REGIONAL DO GUARA,53,200801
00058224000154,HOSPITAL DIA VIDA E LIBERDADE LTDA,21,201505
00061572000180,HOSPITAL CRISTO REI,52,200801
00070400000173,HOSPITAL NOSSA SENHORA DA PENHA LTDA,42,201505
00071178000123,CENTRO DE OLHOS DE SAO LUIS LTDA,21,201411
00081876000100,CLINICA DE OFTALMODIAGNOSTICO LTDA,29,201504
00103044000147,CENTRO MEDICO INHUMAS LTDA,52,201504
00108558000195,HOSPITAL DE OLHOS DE CUIABA,51,201504
00111365000193,DUARTE ANELLI LTDA EPP,41,201505
00112288000196,SANTA CASA MISERICORDIA DE ALTEROSA,31,201505
00122256000171,INSTITUTO DE OLHOS DE MACEIO SC LTDA,27,201505
00132791000103,HOSPITAL ELMO DE AZEVEDO LTDA,52,200801
00147298000167,CASA DE SAUDE SANTA ANA LTDA,52,201505
00149703000186,DIAGSON DIAGNOSTICO EM ULTRASONOG E MEDICINA FETAL LTDA,25,201504
00183020000145,HOSPITAL MATERNO INFANTIL CANARANA LTDA,51,200801
00196890000159,CLINICA MATERNA LTDA,29,200801
00222810000192,HOSPITAL E MATERNIDADE MENINO JESUS LTDA,52,200801
00254512000184,HOSPITAL INFANTIL DE BELFORD ROXO,33,201505
00269860000125,HOSPITAL E MATERNIDADE SANTA CECILIA LTDA,52,201505
00304148000110,FUNDACAO DE SAUDE ITAIGUAPY,41,201505
00331801001101,UNIAO BRASILIENSE DE EDUCACAO E CULTURA,53,200801
00382069000127,HOSPITAL DAHER LAGO SUL,53,201106
00394223000180,COOPERATIVA DE SAUDE UNIVIDA LTDA,43,200801
00394452050038,HOSPITAL DE GUARNICAO DE MARABA,15,200801
00394544020100,MS HOSPITAL DO ANDARAI,33,201505
00394544020291,MS HGB HOSPITAL GERAL DE BONSUCESSO,33,201505
00394544020372,MS HOSPITAL FEDERAL CARDOSO FONTES,33,201505
00394544020453,MS HOSPITAL FEDERAL DA LAGOA,33,201505
00394544021000,MS HOSPITAL DE IPANEMA,33,201505
00394544021182,MS HSE HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,33,201505
00394544021263,MS INST NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA JAMIL HADDAD,33,201505
00394544021344,MS INC INSTITUTO NACIONAL DE CARDIOLOGIA,33,201505
00394700000531,HBDF HOSPITAL DE BASE DO DISTRITO FEDERAL,53,201505
00394700000612,HOSPITAL REGIONAL DO GAMA,53,201505
00394700000884,HOSPITAL MATERNO INFANTIL DE BRASILIA,53,201505
00394700000965,HOSPITAL REGIONAL DE TAGUATINGA,53,201505
00394700001007,HOSPITAL SAO VICENTE DE PAULO,53,201505
00394700001260,HOSPITAL REGIONAL DA ASA NORTE,53,201505
00394700002151,HOSPITAL DE APOIO DE BRASILIA,53,201505
00420371000122,VILA SAO JOSE BENTO COTTOLENGO,52,201505
00424572000106,HOSPITAL LUCIO REBELO LTDA,52,201505
00442878000187,INSTITUTO DE OLHOS DE SERGIPE LTDA,28,201505
00467444000131,HOSPITAL OFTALMOLOGICO DE ANAPOLIS LTDA EPP,52,201505
00510909000602,UNIMED BRASILIA COOPERATIVA DE TRABALHO MEDICO,53,201005
00511816000180,HOSPITAL PRONTONORTE S/A,53,200801
00518251000162,OFTALMOCLINICA SAULO FREIRE LTDA,25,201411
00518251000243,OFTALMOCLINICA,25,201505
00523053000197,HOSPITAL MEMORIAL PETROLINA LTDA,26,201505
00524237000171,VENDRAMIN GUIMARAES LTDA,50,200801
00529443000336,OBRAS SOCIAIS DA DIOC DE R BRANCO HOSPITAL SANTA JULIANA,12,201505
00541891000193,FUNDACAO HOSPITALAR DE COSTA RICA,50,201505
00610980000144,HOSPITAL SANTA MARTA LTDA,53,201502
