CID,DESCRICAO,TP_NIVEL,RESTRSEXO,DS_CATEGORIA,DS_GRUPO,DS_CAPITULO
A00,Colera,CAT,5,Colera,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A000,Colera dev Vibrio cholerae 01 biot cholerae,SUBCAT,5,Colera,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A001,Colera dev Vibrio cholerae 01 biot El Tor,SUBCAT,5,Colera,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A009,Colera NE,SUBCAT,5,Colera,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A01,Febres tifoide e paratifoide,CAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A010,Febre tifoide,SUBCAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A011,Febre paratifoide A,SUBCAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A012,Febre paratifoide B,SUBCAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A013,Febre paratifoide C,SUBCAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A014,Febre paratifoide NE,SUBCAT,5,Febres tifoide e paratifoide,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A02,Outr infecc p/Salmonella,CAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A020,Enterite p/salmonela,SUBCAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A021,Septicemia p/salmonela,SUBCAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A022,Infecc localizadas p/salmonela,SUBCAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A028,Outr infecc espec p/salmonela,SUBCAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A029,Infecc NE p/salmonela,SUBCAT,5,Outr infecc p/Salmonella,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A03,Shiguelose,CAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A030,Shiguelose dev Shigella dysenteriae,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A031,Shiguelose dev Shigella flexneri,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A032,Shiguelose dev Shigella boydii,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A033,Shiguelose dev Shigella sonnei,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A038,Outr shigueloses,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A039,Shiguelose NE,SUBCAT,5,Shiguelose,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A04,Outr infecc intestinais bacter,CAT,5,Outr infecc intestinais bacter,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A040,Infecc p/Escherichia coli enteropatogenica,SUBCAT,5,Outr infecc intestinais bacter,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A041,Infecc p/Escherichia coli enterotoxigenica,SUBCAT,5,Outr infecc intestinais bacter,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A042,Infecc p/Escherichia coli enteroinvasiva,SUBCAT,5,Outr infecc intestinais bacter,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
A043,Infecc p/Escherichia coli enterohemorragica,SUBCAT,5,Outr infecc intestinais bacter,A00-A09 Doenças infecciosas intestinais,I. Algumas doenças infecciosas e parasitárias
