CID,CD_DESCRICAO
P545,Hemorragia cutanea neonatal
Y085,Areas de comercio e de servicos
W434,Rua e estrada
N806,Endometriose em cicatriz cutanea
E739,Intolerancia a lactose NE
Y571,Lipotropicos
P041,Fet rec-nasc afet outr medic utiliz p/mae
H833,Efeitos do ruido sobre o ouvido interno
W463,Contato com agulha hipodérmica - área para a práti
H471,Papiledema NE
L110,Ceratose folicular adquir
W127,Fazenda
M492,Espondilite p/enterobacterias
L571,Reticuloide actinica
K261,Aguda c/perfuracao
C24,Neopl malig outr partes e NE vias biliares
F790,Mencao ausencia de ou compr minimo comport
Y465,Acido valproico
Y466,Outr anticonvulsivantes e os NE
E142,C/compl renais
X80,Lesao autoprov intenc precip lugar elevado
D197,Tec mesotelial de outr localiz
F204,Depressao pos-esquizofrenica
N872,Displasia cervical grave NCOP
Q049,Malformacao congen NE do encefalo
R789,Presenca subst NE norm nao encontrada sangue
C312,Seio frontal
G466,Sindr lacunar sensorial pura
F621,Modif durad personalid apos doenc psiquiatr
Y15,Envenen alcool intencao nao determinada
B588,Toxoplasmose c/compr de outr orgaos
K758,Outr doenc hepaticas inflam espec
A820,Raiva silvestre
E103,C/compl oftalmicas
X350,Residencia
W056,Areas industriais e em construcao
W454,Rua e estrada
Q553,Atresia do canal deferente
Y053,Area p/a pratica de esportes e atletismo
B370,Estomatite p/Candida
Q788,Outr osteocondrodisplasias espec
O422,Ruptura premat membr trab parto retard terap
G939,Transt NE do encefalo
P912,Leucomalacia cerebral neonatal
X961,Habitacao coletiva
M621,Outr rupturas musculares
C68,Neopl malig de outr orgaos urinarios e NE
Q185,Microstomia
S832,Ruptura do menisco atual
Y522,Outr drogas antidisrritmicas NCOP
I350,Estenose aortica
P156,Necrose gordura subcutanea dev traum parto
W60,Contato espinhos plantas ou folhas agucadas
W597,Fazenda
Q75,Outr malformacoes congen ossos cranio e face
A98,Outr febres hemorragicas p/virus NCOP
E503,Defic vitamina A c/ulceracao e xerose cornea
S066,Hemorragia subaracnoide dev traum
F438,Outr reacoes ao stress grave
I250,Doenc cardiovasc ateroscler descr deste modo
N038,Outr
J359,Doenc das amigdalas e das adenoides NE
J20,Bronquite aguda
T140,Traum superf de regiao NE do corpo
Y144,Rua e estrada
Q649,Malformacao congen NE do aparelho urinario
P031,Fet rec-nasc afet out apres anor ma-pos desp
G370,Esclerose difusa
H95,Transt ouvido apof mastoide pos-proced NCOP
X293,Area p/a pratica de esportes e atletismo
V385,Condutor acid trans
K46,Hernia abdominal NE
P260,Hemorragia traqueobronq orig periodo perinat
F229,Transt delirante persistente NE
I802,Flebite trombofleb outr vasos prof membr inf
R841,Nivel hormonal anormal
W886,Areas industriais e em construcao
Y62,Asseps insuf prest cuidados cirurg e medicos
T35,Geladura de mult partes do corpo e das NE
N308,Outr cistites
J441,Doenc pulmonar obstr cron c/exacerb aguda NE
F108,Outr transt mentais ou comport
H18,Outr transt da cornea
J011,Sinusite frontal aguda
F605,Personalidade anancastica
V02,Pedestre traum colis veic motor 2 3 rodas
I319,Doenc NE do pericardio
W237,Fazenda
D334,Medula espinhal
W667,Fazenda
A840,Encefalite da taiga
L90,Afeccoes atroficas da pele
Q18,Outr malformacoes congen da face e pescoco
