uf,nome_uf,regiao_geografica_intermediaria,nome_regiao_geografica_intermediaria,regiao_geografica_imediata,nome_regiao_geografica_imediata,municipio,codigo_municipio_completo,nome_municipio,sigla_estado,populacao,densidade_demografica,salario_medio,pessoal_ocupado,ideb_anos_iniciais_ensino_fundamental,ideb_anos_finais_ensino_fundamental,receita_bruta,dependencia_financeira,despesas_empenhadas,mortalidade_infantil,internacoes_por_diarreia,area_cidade
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,ro,21.49,3.04,2.1,0.0,5.3,4.7,147825150.34,86.78,136562752.44,10.44,131.3,0.0
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,379,1100379,Alto Alegre dos Parecis,ro,11.48,2.9,2.0,0.0,5.6,4.9,103044581.42,87.93,98610476.04,11.76,40.8,0.0
11,Rondônia,1101,Porto Velho,110002,Ariquemes,403,1100403,Alto Paraíso,ro,16.32,6.15,2.2,0.0,5.0,4.7,111887216.06,87.8,95665105.64,23.15,51.5,0.0
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,346,1100346,Alvorada D'Oeste,ro,13.12,4.33,1.7,0.0,5.4,4.6,94428402.2,75.71,75333034.89,10.05,7.2,0.0
11,Rondônia,1101,Porto Velho,110002,Ariquemes,23,1100023,Ariquemes,ro,96.83,21.88,2.0,0.0,5.4,4.8,556381049.28,68.81,567110382.56,12.54,104.1,0.0
11,Rondônia,1101,Porto Velho,110002,Ariquemes,452,1100452,Buritis,ro,27.99,8.57,2.0,0.0,5.4,4.6,171101998.52,77.63,150208173.58,10.06,227.8,0.0
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,31,1100031,Cabixi,ro,5.35,4.07,1.9,0.0,5.8,5.0,56844020.67,89.45,47013882.28,0.0,70.3,0.0
11,Rondônia,1101,Porto Velho,110002,Ariquemes,601,1100601,Cacaulândia,ro,4.15,2.12,2.5,0.0,4.7,4.3,58288209.1,81.67,43338103.9,0.0,69.0,0.0
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,49,1100049,Cacoal,ro,86.89,22.91,1.9,0.0,5.7,4.9,500279357.17,65.24,437804797.32,8.94,291.9,0.0
11,Rondônia,1101,Porto Velho,110002,Ariquemes,700,1100700,Campo Novo de Rondônia,ro,8.84,2.57,2.4,0.0,4.8,4.5,102743030.69,80.45,82522662.62,14.49,108.4,0.0
11,Rondônia,1101,Porto Velho,110001,Porto Velho,809,1100809,Candeias do Jamari,ro,22.31,3.26,2.1,0.0,4.7,4.1,123456837.96,88.46,118062521.33,14.75,0.0,0.0
