NACIONAL,DESCRICAO
170,Abissinia
171,Acores
172,Afar frances
241,Afeganistao
093,Albania
030,Alemanha
174,Alto volta
094,Andorra
175,Angola
334,Antartica francesa
337,Antartico argentino
333,"Antartico britanico, territorio"
336,Antartico chileno
338,Antartico noruegues
028,Antigua e. dep. barbuda
029,Antilhas holandesas
339,Apatrida
242,Arabia saudita
176,Argelia
021,Argentina
347,Armenia
289,Arquipelago de bismark
285,Arquipelago manahiki
286,Arquipelago midway
033,Aruba
198,"Ascensao e tristao da cunha,is"
287,Ashmore e cartier
288,Australia
095,Austria
138,Azerbaijao
243,Bahrein
342,Bangladesh
044,Barbados
139,Bashkista
177,Bechuanalandia
031,Belgica
046,Belize
178,Benin
083,Bermudas
246,Bhutan
244,Birmania
022,Bolivia
134,Bosnia herzegovina
179,Botsuana
010,Brasil
245,Brunei
096,Bulgaria
238,Burkina fasso
180,Burundi
141,Buryat
343,Cabo verde
181,Camaroes
034,Canada
142,Carelia
247,Catar
143,Cazaquistao
248,Ceilao
182,Ceuta e melilla
183,Chade
144,Chechen ingusth
023,Chile
042,China
249,China (taiwan)
097,Chipre
145,Chuvash
275,Cingapura
026,Colombia
040,Comunidade das bahamas
054,Comunidade dominicana
185,Congo
043,Coreia
186,Costa do marfim
051,Costa rica
250,Coveite
130,Croacia
052,Cuba
053,Curacao
146,Dagesta
187,Daome
340,Dependencia de ross
098,Dinamarca
188,Djibuti
099,Eire
251,Emirados arabes unidos
027,Equador
100,Escocia
136,Eslovaquia
132,Eslovenia
035,Espanha
129,Estado da cidade do vaticano
057,Estados assoc. das antilhas
036,Estados unidos da america (eua)
147,Estonia
190,Etiopia
252,Filipinas
102,Finlandia
037,Franca
192,Gambia
193,Gana
194,Gaza
148,Georgia
103,Gibraltar
149,Gorno altai
032,Gra-bretanha
059,Granada
104,Grecia
084,Groenlandia
292,Guam
061,Guatemala
087,Guiana francesa
195,Guine
344,Guine bissau
196,Guine equatorial
105,Holanda
064,Honduras
063,Honduras britanicas
253,Hong-kong
106,Hungria
254,Iemen
345,Iemen do sul
197,Ifni
300,Ilha johnston e sand
069,Ilha milhos
293,Ilhas baker
107,Ilhas baleares
199,Ilhas canarias
294,Ilhas cantao e enderburg
295,Ilhas carolinas
297,Ilhas christmas
184,Ilhas comores
290,Ilhas cook
108,Ilhas cosmoledo (lomores)
117,Ilhas de man
109,Ilhas do canal
296,Ilhas do pacifico
058,Ilhas falklands
101,Ilhas faroes
298,Ilhas gilbert
060,Ilhas guadalupe
299,Ilhas howland e jarvis
301,Ilhas kingman reef
313,Ilhas linha
305,Ilhas macdonal e heard
302,Ilhas macquaire
067,Ilhas malvinas
303,Ilhas marianas
304,Ilhas marshall
306,Ilhas niue
307,Ilhas norfolk
315,Ilhas nova caledonia
318,Ilhas novas hebridas
308,Ilhas palau
320,Ilhas pascoa
321,Ilhas pitcairin
309,Ilhas salomao
326,Ilhas santa cruz
065,Ilhas serranas
310,Ilhas tokelau
080,Ilhas turca
047,Ilhas turks e caicos
082,Ilhas virgens americanas
081,Ilhas virgens britanicas
311,Ilhas wake
332,Ilhas wallis e futuna
255,India
256,Indonesia
110,Inglaterra
257,Ira
258,Iraque
112,Irlanda
111,Irlanda do norte
113,Islandia
259,Israel
039,Italia
114,Iugoslavia
066,Jamaica
041,Japao
260,Jordania
150,Kabardino balkar
312,Kalimatan
151,Kalmir
