CODIGO,DESCRICAO
110013,Vale do Jamari
110026,Vale do Jamari
110040,Vale do Jamari
110045,Vale do Jamari
110060,Vale do Jamari
110070,Vale do Jamari
110094,Vale do Jamari
110140,Vale do Jamari
110004,Café
110009,Café
110018,Café
110120,Café
110147,Café
110148,Café
110011,Central
110012,Central
110015,Central
110025,Central
110032,Central
110034,Central
110100,Central
110130,Central
110143,Central
110155,Central
110160,Central
110170,Central
110175,Central
110180,Central
110010,Madeira-Mamoré
110020,Madeira-Mamoré
110033,Madeira-Mamoré
110080,Madeira-Mamoré
110110,Madeira-Mamoré
110001,Zona da Mata
110014,Zona da Mata
110028,Zona da Mata
110029,Zona da Mata
110037,Zona da Mata
110050,Zona da Mata
110090,Zona da Mata
110145,Zona da Mata
110003,Cone Sul
110005,Cone Sul
110006,Cone Sul
110007,Cone Sul
110030,Cone Sul
110092,Cone Sul
110146,Cone Sul
110008,Vale do Guaporé
110149,Vale do Guaporé
110150,Vale do Guaporé
110000,Ignorado - RO
119999,Ignorado - RO
120005,Alto Acre
120010,Alto Acre
120025,Alto Acre
120070,Alto Acre
120001,Baixo Acre e Purus
120013,Baixo Acre e Purus
120017,Baixo Acre e Purus
120032,Baixo Acre e Purus
120034,Baixo Acre e Purus
120038,Baixo Acre e Purus
120040,Baixo Acre e Purus
120043,Baixo Acre e Purus
120045,Baixo Acre e Purus
120050,Baixo Acre e Purus
120080,Baixo Acre e Purus
120020,Juruá e Tarauacá/Envira
120030,Juruá e Tarauacá/Envira
120033,Juruá e Tarauacá/Envira
120035,Juruá e Tarauacá/Envira
120039,Juruá e Tarauacá/Envira
120042,Juruá e Tarauacá/Envira
120060,Juruá e Tarauacá/Envira
120000,Ignorado - AC
129999,Ignorado - AC
130030,"Manaus, Entorno e Alto Rio Negro"
130040,"Manaus, Entorno e Alto Rio Negro"
130110,"Manaus, Entorno e Alto Rio Negro"
130115,"Manaus, Entorno e Alto Rio Negro"
130185,"Manaus, Entorno e Alto Rio Negro"
130255,"Manaus, Entorno e Alto Rio Negro"
130260,"Manaus, Entorno e Alto Rio Negro"
130310,"Manaus, Entorno e Alto Rio Negro"
130353,"Manaus, Entorno e Alto Rio Negro"
130356,"Manaus, Entorno e Alto Rio Negro"
130360,"Manaus, Entorno e Alto Rio Negro"
130380,"Manaus, Entorno e Alto Rio Negro"
130008,Rio Negro e Solimões
130010,Rio Negro e Solimões
130063,Rio Negro e Solimões
130083,Rio Negro e Solimões
130120,Rio Negro e Solimões
130130,Rio Negro e Solimões
130250,Rio Negro e Solimões
130320,Rio Negro e Solimões
130014,Rio Madeira
130080,Rio Madeira
130170,Rio Madeira
130270,Rio Madeira
130330,Rio Madeira
130190,Médio Amazonas
130200,Médio Amazonas
130395,Médio Amazonas
130400,Médio Amazonas
130430,Médio Amazonas
130440,Médio Amazonas
130050,Baixo Amazonas
130068,Baixo Amazonas
130290,Baixo Amazonas
130300,Baixo Amazonas
130340,Baixo Amazonas
130070,Regional Purus
130090,Regional Purus
130240,Regional Purus
130350,Regional Purus
130410,Regional Purus
130100,Regional Juruá
130140,Regional Juruá
130150,Regional Juruá
130165,Regional Juruá
130180,Regional Juruá
130195,Regional Juruá
130002,Triângulo
130210,Triângulo
130220,Triângulo
130280,Triângulo
130420,Triângulo
130426,Triângulo
130006,Alto Solimões
130020,Alto Solimões
130060,Alto Solimões
130160,Alto Solimões
130230,Alto Solimões
130370,Alto Solimões
130390,Alto Solimões
130406,Alto Solimões
130423,Alto Solimões
130000,Ignorado - AM
139999,Ignorado - AM
140002,Centro Norte
140005,Centro Norte
140010,Centro Norte
140015,Centro Norte
140017,Centro Norte
140030,Centro Norte
140040,Centro Norte
140045,Centro Norte
140070,Centro Norte
140020,Sul
140023,Sul
140028,Sul
140047,Sul
140050,Sul
140060,Sul
140000,Ignorado - RR
149999,Ignorado - RR
150034,Araguaia
150125,Araguaia
150270,Araguaia
150276,Araguaia
150304,Araguaia
150543,Araguaia
150555,Araguaia
150613,Araguaia
150616,Araguaia
150658,Araguaia
150670,Araguaia
150730,Araguaia
150775,Araguaia
150808,Araguaia
150840,Araguaia
150040,Baixo Amazonas
150050,Baixo Amazonas
150145,Baixo Amazonas
150285,Baixo Amazonas
150300,Baixo Amazonas
150390,Baixo Amazonas
150475,Baixo Amazonas
150480,Baixo Amazonas
150510,Baixo Amazonas
150530,Baixo Amazonas
150565,Baixo Amazonas
150600,Baixo Amazonas
150680,Baixo Amazonas
150797,Baixo Amazonas
150013,Carajás
150157,Carajás
150175,Carajás
150215,Carajás
150277,Carajás
150293,Carajás
150295,Carajás
150370,Carajás
150420,Carajás
150497,Carajás
150549,Carajás
150553,Carajás
150563,Carajás
150618,Carajás
150715,Carajás
150745,Carajás
150750,Carajás
150178,Lago de Tucuruí
150309,Lago de Tucuruí
150380,Lago de Tucuruí
150506,Lago de Tucuruí
150810,Lago de Tucuruí
150080,Metropolitana I
150140,Metropolitana I
150150,Metropolitana I
150442,Metropolitana I
150635,Metropolitana I
150020,Metropolitana II
150190,Metropolitana II
150260,Metropolitana II
150275,Metropolitana II
150650,Metropolitana II
150700,Metropolitana II
150710,Metropolitana II
150800,Metropolitana II
150820,Metropolitana II
150095,Metropolitana III
150230,Metropolitana III
150240,Metropolitana III
150290,Metropolitana III
150307,Metropolitana III
150320,Metropolitana III
150340,Metropolitana III
150345,Metropolitana III
150350,Metropolitana III
150405,Metropolitana III
150410,Metropolitana III
150430,Metropolitana III
150440,Metropolitana III
150495,Metropolitana III
150550,Metropolitana III
150660,Metropolitana III
150720,Metropolitana III
150740,Metropolitana III
150746,Metropolitana III
150760,Metropolitana III
150796,Metropolitana III
150812,Metropolitana III
150090,Rio Caetés
150160,Rio Caetés
150170,Rio Caetés
150195,Rio Caetés
150220,Rio Caetés
150500,Rio Caetés
150540,Rio Caetés
150560,Rio Caetés
150610,Rio Caetés
150611,Rio Caetés
150620,Rio Caetés
150655,Rio Caetés
150690,Rio Caetés
150747,Rio Caetés
150803,Rio Caetés
150830,Rio Caetés
150100,Tapajós
150360,Tapajós
150375,Tapajós
150503,Tapajós
150619,Tapajós
150805,Tapajós
150010,Tocantins
150120,Tocantins
150130,Tocantins
150210,Tocantins
150330,Tocantins
150400,Tocantins
150460,Tocantins
150470,Tocantins
150520,Tocantins
150795,Tocantins
150060,Xingu
150085,Xingu
150172,Xingu
150445,Xingu
150548,Xingu
150590,Xingu
150780,Xingu
150815,Xingu
150835,Xingu
150030,Marajó I
150200,Marajó I
150250,Marajó I
150490,Marajó I
150570,Marajó I
150630,Marajó I
150640,Marajó I
150770,Marajó I
150790,Marajó I
150070,Marajó II
150110,Marajó II
150180,Marajó II
150280,Marajó II
150310,Marajó II
150450,Marajó II
150580,Marajó II
150000,Ignorado - PA
159999,Ignorado - PA
160005,Área Central
160015,Área Central
160021,Área Central
160023,Área Central
160025,Área Central
160030,Área Central
160053,Área Central
160010,Área Norte
160020,Área Norte
160050,Área Norte
160055,Área Norte
160070,Área Norte
160027,Área Sudoeste
160040,Área Sudoeste
160060,Área Sudoeste
160080,Área Sudoeste
160000,Ignorado - AP
169999,Ignorado - AP
170130,Médio Norte Araguaia
170210,Médio Norte Araguaia
170215,Médio Norte Araguaia
170300,Médio Norte Araguaia
170307,Médio Norte Araguaia
170384,Médio Norte Araguaia
170388,Médio Norte Araguaia
170650,Médio Norte Araguaia
170770,Médio Norte Araguaia
170900,Médio Norte Araguaia
171395,Médio Norte Araguaia
171488,Médio Norte Araguaia
171630,Médio Norte Araguaia
171720,Médio Norte Araguaia
171886,Médio Norte Araguaia
172208,Médio Norte Araguaia
172210,Médio Norte Araguaia
170030,Bico do Papagaio
