CODE,NAME,SOURCE ACRONYM,MEASURE,THEME CODE,BIG THEME
CONSUMOCOM,Energia elétrica - consumo final energia - comércio - quantidade,MME,MWh,2,Regional
CONSUMOIND,Energia elétrica - consumo final energia - indústria - quantidade,MME,MWh,2,Regional
CONSUMOOUT,Energia elétrica - consumo final energia - não-identificado - quantidade,MME,MWh,2,Regional
CONSUMORES,Energia elétrica - consumo final energia - residência - quantidade,MME,MWh,2,Regional
CONSUMOTOT,Energia elétrica - consumo final energia - quantidade,MME,MWh,2,Regional
AGENCIAS,Número de agências bancárias,BCB,Unidade,3,Regional
APLICACOES,Operações de Crédito,BCB,"R$, a preços do ano 2010",3,Regional
COMAGR,Estoque de crédito rural - comercialização - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
COMAGRE,Fluxo de crédito rural - comercialização - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
COMERC,Estoque de crédito rural - comercialização,BCB,"R$, a preços do ano 2010",3,Regional
COMERCE,Fluxo de crédito rural - comercialização,BCB,"R$, a preços do ano 2010",3,Regional
COMPEC,Estoque de crédito rural - comercialização - pecuária,BCB,"R$, a preços do ano 2010",3,Regional
COMPECE,Fluxo de crédito rural - comercialização - pecuária,BCB,"R$, a preços do ano 2010",3,Regional
CREAT,Estoque de crédito rural,BCB,"R$, a preços do ano 2010",3,Regional
CREATE,Fluxo de crédito rural,BCB,"R$, a preços do ano 2010",3,Regional
CUSAGR,Estoque de crédito rural - custeio - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
CUSAGRE,Fluxo de crédito rural - custeio - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
CUSGIO,Estoque de crédito rural - custeio,BCB,"R$, a preços do ano 2010",3,Regional
CUSGIOE,Fluxo de crédito rural - custeio,BCB,"R$, a preços do ano 2010",3,Regional
CUSPEC,Estoque de crédito rural - custeio - pecuária,BCB,"R$, a preços do ano 2010",3,Regional
CUSPECE,Fluxo de crédito rural - custeio - pecuária,BCB,"R$, a preços do ano 2010",3,Regional
DEPOSITAV,Depósitos bancários à vista,BCB,"R$, a preços do ano 2010",3,Regional
DEPOSITPRA,Depósitos bancários a prazo,BCB,"R$, a preços do ano 2010",3,Regional
INVAGR,Estoque de crédito rural - investimento - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
INVAGRE,Fluxo de crédito rural - investimento - agrícola,BCB,"R$, a preços do ano 2010",3,Regional
INVEST,Estoque de crédito rural - investimento,BCB,"R$, a preços do ano 2010",3,Regional
