Número de estabelecimentos de urgência pelo SUS
Sigla;Código;Estado;2021;2022;2023;2024;2025;
AC;12;Acre;58;58;58,8333333333333;59;60,416667;
AL;27;Alagoas;118,75;118,916666666667;116,083333333333;116,5;117;
AM;13;Amazonas;212,583333333333;198,083333333333;217,5;219,75;239,666667;
AP;16;Amapá;33,25;39;36,6666666666667;37,833333;39;
BA;29;Bahia;1036,41666666667;1044,91666666667;1046,41666666667;1065,083333;1082,25;
CE;23;Ceará;486,333333333333;487,416666666667;491,166666666667;504,416667;532,916667;
DF;53;Distrito Federal;81,5;87,4166666666667;89,0833333333333;89,5;89,25;
ES;32;Espírito Santo;141,25;144,583333333333;143,583333333333;145,75;150,416667;
GO;52;Goiás;417,833333333333;428,416666666667;432,25;443,083333;454,083333;
MA;21;Maranhão;397,916666666667;400,25;404,25;405,333333;424,416667;
MG;31;Minas Gerais;1168,83333333333;1166,91666666667;1226,08333333333;1279,583333;1305,5;
MS;50;Mato Grosso do Sul;145,5;146,333333333333;145,75;146,666667;150,75;
MT;51;Mato Grosso;245,666666666667;245,916666666667;247,833333333333;263,916667;265,083333;
PA;15;Pará;411,166666666667;413,416666666667;412,833333333333;414,083333;437,5;
PB;25;Paraíba;319,916666666667;322,25;326,583333333333;334,75;350,833333;
PE;26;Pernambuco;497;514,666666666667;510,25;511,666667;518,833333;
PI;22;Piauí;282,5;286,333333333333;282,833333333333;285,583333;298,5;
PR;41;Paraná;817,666666666667;841,416666666667;850,25;863,583333;875,333333;
RJ;33;Rio de Janeiro;562;584,666666666667;585,75;602,25;624;
RN;24;Rio Grande do Norte;250,916666666667;257,583333333333;258;255,5;258,333333;
RO;11;Rondônia;101;102,25;100,916666666667;105;117,083333;
RR;14;Roraima;41,1666666666667;40,9166666666667;40,25;41;44,083333;
RS;43;Rio Grande do Sul;629,916666666667;636,583333333333;646,583333333333;654,75;672,166667;
SC;42;Santa Catarina;446,25;451,916666666667;459,583333333333;478,416667;499,083333;
SE;28;Sergipe;80,1666666666667;79,5833333333333;77,8333333333333;77,75;83,416667;
SP;35;São Paulo;1911,75;1915,58333333333;1932,66666666667;1943,75;1983,5;
TO;17;Tocantins;106,75;111,583333333333;114,333333333333;116,666667;120;
